Year,NAME,Senator,Pct_Vote
2014,Alabama,Red,J. Sessions,100.00
2014,Alaska,Red,D. Sullivan,48.8
2014,Arkansas,Red,T. Cotton,56.5
2014,Colorado,Red,C. Gardner,48.5
2014,Delaware,Blue,C. Coons,55.8
2014,Georga,Red,D. Perdue,53.0
2014,Hawaii,Blue,B. Schatz,69.8
2014,Idaho,Red,J. Risch,65.3
2014,Illnois,Blue,D. Durbin,53.1
2014,Iowa,Red,J. Ernst,52.2
2014,Kansas,Red,P. Roberts,53.3
2014,Kentucky,Red,M. McConnell,56.2
2014,Louisiana,Red,B. Cassidy,55.9
2014,Maine,Red,S. Collins,68.4
2014,Massachusetts,Blue,E. Markey,62.0
2014,Michigan,Blue,G. Peters,54.6
2014,Minnesota,Blue,A. Franken,53.2
2014,Mississippi,Red,T. Cochran,60.4
2014,Montana,Red,S. Danes,57.9
2014,Nebraska,Red,B. Sasse,64.8
2014,New Hampshire,Blue,J. Shaheen,51.6
2014,New Jersey,Blue,C. Booker,55.8
2014,New Mexico,Blue,T. Udall,55.4
2014,North Carolina,Red,T. Tillis,49.0
2014,Oklahoma,Red,J. Inhofe,68.0
2014,Oklahoma,Red,J. Lankford,67.9
2014,Oregon,Blue,J. Merkley,55.8
2014,Rhode Island,Blue,J. Reed,70.7
2014,South Carolina,Red,L. Graham,54.5
2014,South Carolina,Red,T. Scott,61.2
2014,South Dakota,Red,M. Rounds,50.4
2014,Tennessee,Red,L. Alexander,61.9
2014,Texas,Red,J. Cornyn,61.6
2014,Virginia,Blue,M. Warner,49.2
2014,West Virginia,Red,S. Capito,62.1
2014,Wyoming,Red,M. Enzi,72.3
